CANCEL;Annuler
Copies a info source to an info destination if info X is equal to info Y. Define N in order to execute the EventP only once every N periods.;Copie une Info Source dans l'Info Destination  si info X == Info Y. Définir N afin d'exécuter l'EventP qu'une fois tous les N périodes.
DEC_SYMB;.
Info Destination;Info Destination
Info Source;Info Source
Info X;Info X
Info Y;Info Y
LANG_SYMB;EN
MD_@PPO_SCSYS_LANG@;MD_@PPO_SCSYS_LANG@
N (execute every N periods);N (n'exécuter qu'une fois tous les N périodes)
Name;Nom
OK;OK
PM_AM;0
Type;Type

