ACK;ACK
Alarm List Name;Nom de la liste d'alarmes
Alarm List Size;Taille de la liste d'alarmes
Alarm Text;Texte d'alarme
Alarm texts will be loaded from the CSV file currently selected during runtime;les textes des alarmes seront extraient du fichier langage (*.CSV)
Cancel;Annuler
DEC_SYMB;.
Define the alarm list sorting criteria (e.g. latest alarm on top);Critères de tri de la liste d'alarmes (ex: plus récente alarme en haut)
Define the range of alarm types you want to display;Suite d'ID d'alarmes à afficher
End:;End:
Filter Acknowledged;Filtre Acknowledged
Filter Active/Inactive;Filtre Active/Inactive
Filter Type ID Start;Filtre Type ID début
Filter list by the alarm state acknowledged/ not acknowledged;Filtrer la liste celon l'état d'alarme (ACK / NACK)
General Setting;Configurations générales
LANG_SYMB;EN
List Sorting;Tri de la liste
MD_@PPO_SCSYS_LANG@;MD_@PPO_SCSYS_LANG@
NO state;NO state
No Filter\nAlarms Off\nAlarms On;Pas de Filtre\nAlarmes Off\nAlarmes On
No Filter\nNACK Alarms\nACK Alarms\n;Pas de Filtre\nAlarmes NACK \nAlarmes ACK\n
Not Sorted\nOldest First\nNewest first\n;Non triée\nPlus anciennes en haut\nPlus récentes en haut\n
OK;OK
Ok;Ok
PM_AM;0
Set a filter for active alarms, inactive or both;Configure le filtre pour les alarmes actives, inactives ou les deux
Setup Alarm List Filters And Display Options;Configurations des filtres et options d'affichage
Setup Alarm List Items And Column Sizes;Configuration des tailles de colonnes
Setup Alarm State Colours;Configurations des couleurs d'état des alarmes
State OFF ACKED;State OFF ACKED
State OFF;State OFF
State ON ACKED;State ON ACKED
State ON;State ON
TID;TID
Time Off;Time Off
Time On;Time On
Use language file (CSV);Utiliser fichier langage (*.CSV)

